best seeker, average seeker, best avoider, average avoider
2816, 2480.9375, 4147.935738283372, 838.6464241394714
3753, 2873.875, 4455.262756516127, 727.6034654353431
3765, 3025.5625, 4107.991585626793, 516.2602005281949
3489, 2643.0625, 4400.816812282793, 764.8548742428529
3538, 2804.375, 4228.327545235352, 716.8012231102349
3287, 2521.0625, 4409.356751721991, 941.3993130186577
3781, 2783.4375, 3718.0001049904436, 571.3491640598913
3678, 2780.125, 4528.157558141604, 587.1191946413468
3799, 3032.3125, 3990.9364130233485, 563.679807895061
3641, 2703.1875, 4209.713392941403, 623.6825931809205
3652, 2865.6875, 4608.734094559864, 613.0397186149272
3117, 2341.625, 3935.564186959971, 914.3941492796582
3530, 2893.0, 4400.304107224379, 708.581287360748
3676, 2976.5625, 4047.4182765623054, 568.8318286662877
3822, 2937.8125, 4745.871412375471, 742.1645445607928
3742, 2606.625, 4655.644765543244, 865.7400069535373
3376, 2680.5, 5258.423179948458, 781.1895655025294
3800, 2865.125, 4213.483334576583, 737.0297295242669
3674, 2743.0625, 4712.115950861766, 768.1792979926931
3650, 2638.375, 4123.184343833573, 755.3691392281701
3630, 2441.8125, 4448.000501540095, 968.0347143927804
3776, 2893.125, 4429.347125563469, 635.3465755916604
3569, 2768.0625, 4424.075918226768, 756.7783498894108
3448, 2586.375, 4810.821953310473, 868.3939747736969
3583, 2916.0625, 4406.707538796407, 625.9255245857382
3616, 2745.3125, 4051.1068305631247, 739.4066455290578
3646, 2722.625, 4697.7716429510765, 733.397344429252
3817, 2835.0, 4323.280592442207, 534.0648780845713
3676, 2558.3125, 4670.3451840914695, 879.9559034609158
3664, 2812.1875, 4529.163180224259, 614.13101439844
3591, 2776.375, 4845.3571464995075, 698.1768204794415
3683, 2853.0, 4650.070091015008, 522.6650228541198
3728, 2831.3125, 4286.442658333084, 619.2663229994058
3730, 2626.375, 4753.184197176706, 967.8451338389062
3044, 2515.125, 4116.67507208081, 787.1255063657281
3527, 3000.5625, 4816.062177798105, 504.3430334241264
3712, 2936.6875, 5185.823756648184, 616.77535184191
3535, 2619.75, 4479.083800376224, 795.8625525855489
3694, 2698.9375, 4419.015612531987, 777.1116153440267
3553, 2806.9375, 4256.719115800488, 612.6449191863904
3844, 2859.375, 4321.388663738671, 615.8187836522126
3858, 2679.1875, 4022.4136452818943, 587.8500152475078
3877, 2741.25, 4336.35665692575, 839.4459677360668
3803, 2683.125, 4388.305249062885, 844.6097201541511
3598, 2912.75, 5224.524240906593, 622.5080226794986
3815, 2833.0625, 5668.168873389601, 818.6572492493937
3759, 2828.875, 4210.134273298303, 628.9064618283423
3743, 2532.125, 4429.98129497404, 820.5536633081906
3568, 2704.4375, 4501.401517310881, 738.992494598299
3676, 2854.625, 4026.2760284772316, 604.5189867916845
3638, 2819.375, 4880.908611761563, 779.9660169170137
3614, 2533.4375, 4165.4736993733, 799.0886229864225
3526, 2595.125, 4510.0114394337725, 916.735126547151
3654, 2732.375, 3895.8719409337245, 714.2024395149597
3726, 2778.375, 4569.485545639561, 733.3755588333347
3532, 2694.375, 4448.811418601239, 631.5536220578741
3665, 2728.6875, 5101.212089208597, 721.6421310428656
3882, 2797.8125, 4516.568597449863, 697.0709850046492
3766, 3051.125, 3804.8106255524217, 526.8800545758909
3393, 2506.3125, 4412.854662947637, 948.7102786169376
3786, 3031.25, 3949.9730684204956, 569.7932320945265
3756, 2781.8125, 4857.618485530666, 790.6122178593257
3609, 2793.6875, 4602.011886534967, 696.4224061611148
3782, 2746.5, 5034.611754836251, 795.4669583121507
3574, 2714.375, 4290.150332037253, 715.5112521990227
3713, 2786.4375, 4547.184522829391, 707.4149556688446
3759, 2826.375, 4097.473314382689, 620.1303325121131
3638, 2736.375, 4558.0818341852755, 830.4956362023077
3699, 2702.8125, 4544.179371559798, 787.2961741181772
3802, 2716.8125, 4983.771474351791, 933.1388231743781
3774, 2693.9375, 4165.910160832963, 692.8607159280069
3608, 2756.125, 4430.971702799192, 609.7713212108591
3549, 2695.3125, 4775.777721280518, 761.5863410932334
3474, 2531.9375, 4200.900833911935, 995.3115552889308
3658, 2981.125, 4043.569365387312, 660.5042617289478
3670, 2777.6875, 4403.102293699233, 638.1098205757435
3752, 3014.6875, 4001.459822049584, 483.9217292350083
3883, 2842.3125, 4364.830116454148, 732.2519722982975
3413, 2510.9375, 3985.5042202331915, 763.9763047322045
3552, 2893.125, 4099.637506953843, 634.8293113511279
3474, 2689.125, 4072.795319454087, 727.6336024474756
3366, 2692.3125, 5089.799092960207, 791.9799273602981
3862, 2722.8125, 3994.978961546946, 703.7621720271329
3599, 2792.9375, 4099.834828751982, 613.5039348287754
3666, 2893.0, 4005.2025992849067, 480.3062864745118
3728, 2511.8125, 4350.42803071573, 798.6602426743142
3513, 2616.9375, 4201.279193461289, 827.2211305192158
3597, 2619.5, 4726.696550732575, 792.265143819773
3547, 2611.5625, 4439.480195952593, 780.9475393316542
3668, 2913.4375, 4025.5020775326125, 626.0887371267156
3634, 2744.625, 4731.155341068172, 734.7911144047888
3786, 2882.3125, 4806.360677739902, 702.2767717338094
3511, 2657.1875, 4232.221839026545, 782.3915900296985
3669, 2496.125, 4794.026831895147, 909.9864494646433
3748, 2657.8125, 4605.5991635217015, 718.4564903082518
3728, 2706.5625, 4181.538693296179, 726.4052331533569
3757, 2536.8125, 4343.3211016818495, 771.7950346457783
3806, 2866.8125, 4263.9490998452775, 687.3074581972753
3647, 2597.1875, 4676.956341040164, 787.2402611599293
3575, 2791.9375, 4411.004725330425, 773.4653190543446
3573, 2763.1875, 4006.5883430697218, 709.3912452618
3659, 2629.3125, 5560.375174831242, 875.7742068789632
3708, 2750.3125, 4350.201434364542, 699.4221775485863
3588, 2472.9375, 4148.916218550051, 806.9859246815755
3572, 2703.4375, 4960.079287836982, 641.9239475434922
3780, 2633.0625, 4338.654363381005, 788.2859935361587
3403, 2767.625, 4388.292902182631, 682.760281001521
3606, 2747.0, 5065.548149200559, 866.5543214096468
3531, 2788.3125, 4336.301977971846, 627.0240901479398
3562, 2576.5625, 4160.622487131757, 780.7372891879105
3676, 2605.8125, 4350.2538778942435, 792.1317590162945
3575, 2542.3125, 4148.645705835676, 741.2024525185207
3709, 2851.25, 3868.403386049342, 626.1832094453807
3795, 2770.375, 4615.985588099064, 648.741786019984
3687, 2922.1875, 4726.441371820263, 589.3111214788273
3775, 2812.25, 4298.919269997275, 645.6795334860708
3726, 2728.1875, 4074.7384029307527, 752.4675826666119
3782, 2732.125, 4010.5879440311155, 808.0783123797908
3660, 2706.8125, 4413.853485281143, 723.8643085389366
3785, 2944.5625, 4387.444177181, 642.51546787668
3687, 2679.8125, 5108.296720189458, 745.8133935369772
3521, 2675.0625, 4203.720718772684, 867.8405953513301
3279, 2699.375, 4436.310626527726, 675.0630338497275
2862, 2389.4375, 4442.351653364487, 924.4133569912252
3250, 2631.3125, 4480.634310835707, 891.2238792279645
3732, 2661.25, 4237.913383369743, 831.2060658246272
3764, 2786.25, 4592.983560304467, 854.3639865018937
3718, 2523.375, 4720.07353982407, 798.2320725941283
2992, 2561.875, 4339.993936247034, 882.0336097456914
3501, 2639.75, 4480.9586153656455, 869.4535578839358
3764, 2721.8125, 4410.4214870747, 764.1207886029599
3631, 2755.0, 4746.705527590308, 706.352781495323
3681, 2709.9375, 4902.418528234593, 858.9785127766345
3571, 2777.4375, 4467.900864547525, 858.3138855015432
3853, 2822.9375, 4504.475238434811, 653.6824182748245
3602, 2870.625, 4567.602728372045, 550.14250904281
3820, 2937.3125, 4599.146695123584, 694.1390946829143
2853, 2516.3125, 4790.049055329558, 920.0283400248635
3582, 2486.625, 4289.560037923684, 926.560337476076
3594, 2651.75, 4607.433536283748, 916.9839628815644
3609, 2739.6875, 4581.8834082667545, 699.0295884622241
3523, 2704.625, 3998.6261577600258, 840.4699561124348
3611, 2866.3125, 4319.894797931195, 601.8929288207535
3569, 2658.5625, 4697.813323704997, 829.8851876195894
3630, 2861.5, 4485.7377492643445, 548.8656549889233
3594, 2820.4375, 4100.851721660611, 614.1522707369401
3716, 3136.375, 4187.074752240618, 599.6402929711303
3512, 2417.875, 5342.6250433655105, 1017.315693975746
3490, 2879.625, 4027.809312827884, 546.3800439530403
3661, 2878.25, 4258.98323406589, 651.3045539404837
3637, 2617.875, 4632.588310617496, 931.0894226323302
3756, 2673.9375, 4335.936630063212, 739.7624159916855
3727, 2949.4375, 4005.6027933881137, 526.4426870156302
3475, 2716.5, 4364.666338360621, 853.2276325147932
3622, 2736.5625, 4958.095798221964, 752.4567296898398
3747, 2985.3125, 4003.574719209228, 551.9944514048307
3638, 2515.1875, 5116.450935966926, 932.5220287401733
3689, 2927.9375, 4376.17746669519, 648.553520014896
3503, 2755.25, 5270.358659455142, 695.2946425379874
3760, 2733.5625, 4514.516038128305, 701.96160721819
3719, 2797.625, 4526.02689191777, 740.446047108336
3727, 2912.875, 4617.181888967565, 662.2383219203701
3754, 2603.3125, 4358.439005616142, 883.6694528450239
3740, 2783.0, 4372.481650405156, 786.1908784105701
3442, 2709.3125, 4408.072173375806, 776.037287146877
3797, 2839.4375, 4805.096491301652, 670.9146288716253
3548, 2723.9375, 4508.304768381275, 772.4727408003797
3517, 2740.1875, 4484.484032221435, 705.7507898941238
3631, 2954.375, 3845.8026029719167, 576.8272136118196
3680, 2758.9375, 4773.555229867572, 564.116680355928
3578, 2552.5625, 4286.386673780862, 1023.9627521887384
3618, 2813.75, 4360.074837645805, 621.6567704602834
3623, 2630.8125, 4560.844914360963, 793.3659697029796
3585, 2690.75, 4793.386970964498, 869.5183832513319
3769, 2785.3125, 6064.311198945411, 795.1196796190762
3836, 2739.75, 4913.559511204494, 655.9919247650529
3481, 2633.0, 4806.9753217908965, 895.4398227908042
3763, 2832.0, 4223.199273611819, 575.6043461652869
3781, 2763.5625, 4098.993351519203, 797.2824693965647
3780, 3029.8125, 4227.324978437722, 659.4217763581244
3549, 2620.9375, 4699.011478646936, 817.0870885658497
3813, 3072.375, 4540.7736522948535, 525.4982790116894
3636, 2613.375, 4775.562535018305, 878.8151185923409
3429, 2579.875, 4206.533871118427, 745.1838484351588
3593, 2754.75, 4260.650000515268, 686.577777533934
3301, 2610.1875, 4618.801676684643, 951.1271683577218
3493, 2750.5, 3870.0240200258454, 622.9337922308408
3669, 2693.375, 4058.4788524246264, 727.7749035617937
