generation, best seeker, average seeker, best avoider, average avoider
0, 3761, 2736.875, 6621, 1207.09375
1, 3691, 2570.6875, 6767, 1275.8125
2, 3718, 2804.875, 6869, 1030.546875
3, 3794, 2932.0, 6784, 696.625
4, 3688, 2707.375, 6781, 918.984375
5, 3674, 2679.5625, 6807, 1357.203125
6, 3782, 2868.0625, 6773, 809.984375
7, 3513, 2583.625, 6724, 1395.703125
8, 3667, 3037.375, 6537, 515.71875
9, 3856, 2831.8125, 6910, 946.359375
10, 3704, 2596.5, 6641, 1256.375
11, 3726, 2819.25, 6744, 1192.953125
12, 3650, 2600.6875, 6865, 1424.203125
13, 3639, 2677.125, 6880, 1444.40625
14, 3569, 2821.8125, 6633, 1017.375
15, 3700, 3048.375, 6649, 681.359375
16, 3779, 2807.75, 6839, 1095.53125
17, 3741, 2672.5625, 6759, 1072.09375
18, 3746, 2937.375, 6909, 841.78125
19, 3751, 2899.875, 6645, 938.296875
20, 3764, 2960.0625, 6296, 708.15625
21, 3657, 2671.4375, 6714, 1251.0
22, 3688, 2876.6875, 6421, 907.09375
23, 3724, 2880.6875, 6833, 764.109375
24, 3745, 2762.0, 6744, 1279.71875
25, 3794, 2897.9375, 6663, 918.1875
26, 3736, 2796.3125, 6861, 1065.53125
27, 3620, 3061.375, 6769, 604.78125
28, 3652, 2669.8125, 6611, 1167.921875
29, 3784, 2891.4375, 6796, 941.328125
30, 3778, 2946.5625, 6789, 857.796875
31, 3716, 2973.4375, 6567, 712.421875
32, 3837, 2698.875, 6756, 876.765625
33, 3700, 2806.9375, 6815, 1004.671875
34, 3790, 3018.9375, 6454, 658.203125
35, 3708, 2742.0625, 6836, 1340.375
36, 3815, 2980.5625, 6695, 648.6875
37, 3739, 3190.875, 6829, 378.0
38, 3755, 2984.5, 6914, 572.65625
39, 3648, 2781.5625, 6308, 946.4375
40, 3696, 2977.4375, 6904, 680.3125
41, 3820, 2844.125, 6769, 788.9375
42, 3672, 3030.9375, 6353, 451.578125
43, 3724, 3056.5, 6774, 762.0625
44, 3805, 3029.5625, 6773, 859.484375
45, 3678, 2979.375, 6270, 847.421875
46, 3826, 2869.0, 6790, 1049.609375
47, 3568, 2666.625, 6892, 951.9375
48, 3528, 2814.25, 6869, 1035.59375
49, 3825, 2739.4375, 6837, 1329.171875
50, 3655, 2892.5, 6775, 955.46875
51, 3347, 2513.25, 6446, 1218.1875
52, 3658, 2689.25, 6729, 1224.125
53, 3698, 2678.0625, 6794, 983.828125
54, 3721, 2721.4375, 6539, 1063.734375
55, 3723, 2888.3125, 6852, 847.578125
56, 3795, 2742.625, 6776, 930.859375
57, 3750, 2915.3125, 6736, 668.09375
58, 3650, 2828.4375, 6780, 833.46875
59, 3715, 2731.4375, 6570, 1167.75
60, 3708, 2815.75, 6907, 1083.28125
61, 3700, 2736.1875, 6683, 826.765625
62, 3771, 2712.5625, 6623, 1089.53125
63, 3729, 3065.375, 5328, 560.875
64, 3799, 2828.5, 6814, 1071.078125
65, 3664, 2585.375, 6766, 1417.8125
66, 3684, 2947.6875, 6321, 756.4375
67, 3680, 2822.0, 6484, 1112.1875
68, 3737, 2935.0625, 6771, 772.296875
69, 3568, 2853.9375, 6899, 994.375
70, 3612, 2767.9375, 6578, 1127.21875
71, 3715, 2725.6875, 6724, 879.4375
72, 3755, 2860.5, 6519, 1048.984375
73, 3678, 2873.875, 6783, 792.0
74, 3610, 2994.3125, 6469, 665.171875
75, 3759, 2950.5625, 6696, 813.09375
76, 3717, 2874.0625, 6748, 899.640625
77, 3824, 2840.5625, 6598, 1024.78125
78, 3740, 2916.3125, 6791, 856.03125
79, 3760, 2823.4375, 6674, 1120.921875
80, 3668, 2864.0, 6709, 1039.453125
81, 3729, 2766.5, 6240, 809.765625
82, 3706, 2833.125, 6745, 912.921875
83, 3540, 2773.1875, 6860, 1054.328125
84, 3792, 2894.5, 6772, 687.796875
85, 3484, 2561.875, 6636, 1186.546875
86, 3816, 3040.75, 6717, 674.59375
87, 3641, 2782.8125, 6760, 1052.96875
88, 3731, 2955.5, 6694, 650.796875
89, 3688, 2820.5, 6732, 945.6875
90, 3690, 2704.0625, 6824, 1216.609375
91, 3638, 3033.6875, 6603, 929.703125
92, 3575, 2864.375, 6866, 1100.375
93, 3813, 2918.9375, 6693, 858.875
94, 3638, 2764.1875, 6813, 1089.375
95, 3602, 2873.5, 6231, 974.1875
96, 3811, 3060.8125, 6586, 706.578125
97, 3807, 3118.5, 6614, 601.015625
98, 3780, 2891.125, 6670, 872.75
99, 3498, 2655.1875, 6516, 1090.0
100, 3652, 2924.625, 6644, 783.359375
101, 3618, 2777.6875, 6821, 1129.34375
102, 3828, 2985.25, 6828, 944.921875
103, 3749, 2803.8125, 6831, 1192.546875
104, 3843, 2911.5, 6782, 660.46875
105, 3526, 2922.4375, 6754, 960.421875
106, 3796, 2803.75, 6778, 866.0
107, 3529, 2648.4375, 6817, 1300.75
108, 3785, 2905.25, 6700, 827.421875
109, 3802, 2802.875, 6735, 918.953125
110, 3656, 2913.6875, 6806, 893.984375
111, 3661, 2751.5, 6729, 972.859375
112, 3853, 3030.1875, 6905, 680.40625
113, 3731, 2909.3125, 6890, 679.171875
114, 3595, 3051.3125, 6685, 609.34375
115, 3733, 2727.875, 6801, 1266.546875
116, 3814, 2779.9375, 6879, 1214.859375
117, 3614, 2767.375, 6516, 910.921875
118, 3455, 2697.5625, 6147, 1054.359375
119, 3814, 2861.375, 6887, 899.09375
120, 3688, 2846.0, 6892, 896.765625
121, 3667, 2867.1875, 6812, 827.34375
122, 3604, 2872.8125, 6774, 933.734375
123, 3700, 2760.0625, 6746, 952.3125
124, 3806, 2776.75, 6745, 1064.953125
125, 3618, 2702.8125, 6760, 1140.859375
126, 3480, 2616.6875, 6510, 1283.578125
127, 3663, 2746.8125, 6816, 1111.0
128, 3694, 3081.4375, 6776, 539.890625
129, 3678, 2512.375, 6780, 1066.96875
130, 3789, 2799.5, 6681, 980.1875
131, 3759, 2776.8125, 6718, 1091.828125
132, 3573, 2702.3125, 6716, 1101.03125
133, 3815, 2850.0, 6627, 739.453125
134, 3714, 2786.6875, 6575, 946.96875
135, 3717, 2749.75, 6680, 725.640625
136, 3772, 2711.125, 6825, 1248.171875
137, 3628, 2700.9375, 6690, 1148.3125
138, 3695, 2954.25, 6779, 802.453125
139, 3783, 2915.75, 6855, 756.703125
140, 3682, 2664.125, 6766, 985.875
141, 3793, 2848.8125, 6862, 1122.546875
142, 3617, 2752.0625, 6574, 982.84375
143, 3803, 2904.9375, 6754, 1073.828125
144, 3758, 3039.5, 6121, 643.4375
145, 3617, 2690.8125, 6750, 1233.53125
146, 3550, 2902.0625, 6763, 810.078125
147, 3736, 2773.6875, 6750, 922.828125
148, 3780, 2578.875, 6711, 1455.140625
149, 3721, 2836.875, 6886, 1103.515625
150, 3601, 2781.0, 6719, 960.09375
151, 3691, 2792.125, 6799, 961.859375
152, 3754, 2651.375, 6871, 1298.625
153, 3653, 3000.125, 6698, 826.984375
154, 3767, 2992.25, 6888, 783.90625
155, 3796, 2894.6875, 6682, 774.421875
156, 3791, 2970.1875, 6741, 689.625
157, 3682, 2887.5625, 6718, 1006.8125
158, 3478, 2786.875, 6856, 1051.9375
159, 3635, 2889.4375, 6411, 790.71875
160, 3691, 2975.9375, 6797, 860.3125
161, 3793, 3233.125, 6814, 484.0
162, 3737, 2948.0, 6441, 674.3125
163, 3721, 3168.75, 6800, 635.75
164, 3580, 2776.1875, 6642, 943.234375
165, 3337, 2755.625, 6815, 1292.828125
166, 3807, 2808.1875, 6783, 1065.453125
167, 3758, 2632.3125, 6904, 1376.1875
168, 3810, 2920.4375, 6890, 885.203125
169, 3767, 2953.625, 6860, 854.078125
170, 3776, 3039.375, 6704, 792.625
171, 3772, 3068.6875, 6819, 645.3125
172, 3637, 2652.6875, 6507, 1105.421875
173, 3751, 2948.5625, 6192, 786.09375
174, 3667, 2947.3125, 6701, 760.96875
175, 3678, 2811.125, 6670, 944.46875
176, 3815, 3030.75, 6605, 771.8125
177, 3794, 2696.6875, 6517, 970.78125
178, 3578, 2878.4375, 6567, 803.015625
179, 3772, 2765.9375, 6796, 921.703125
180, 3661, 2746.875, 6677, 765.25
181, 3578, 2777.25, 6507, 886.875
182, 3793, 3035.5625, 6746, 532.703125
183, 3669, 2687.125, 6867, 1210.5625
184, 3717, 2852.125, 6644, 685.9375
185, 3612, 2758.6875, 6674, 1212.5625
186, 3539, 2609.125, 6786, 1261.84375
187, 3654, 2991.4375, 6553, 743.671875
188, 3677, 3086.25, 6875, 697.640625
189, 3738, 2839.0625, 6770, 968.609375
190, 3815, 2686.25, 6892, 1060.5
191, 3628, 2674.125, 6877, 1075.1875
192, 3650, 2874.25, 6816, 835.203125
193, 3665, 2670.1875, 6904, 1249.359375
194, 3756, 3020.0625, 6809, 711.921875
195, 3305, 2726.125, 6847, 1033.484375
196, 3700, 3010.0, 6699, 624.671875
197, 3755, 2986.6875, 6594, 703.625
198, 3508, 2725.25, 6899, 1093.640625
199, 3774, 2829.6875, 6290, 842.625
200, 3829, 3023.8125, 6615, 655.125
201, 3846, 3044.625, 6783, 838.59375
202, 3680, 2995.9375, 6450, 458.3125
203, 3688, 2752.75, 6770, 818.9375
204, 3773, 2779.125, 6699, 1108.84375
205, 3514, 2589.0, 6701, 1258.484375
206, 3855, 2844.25, 6362, 901.359375
207, 3651, 2968.875, 6362, 573.96875
208, 3535, 2751.3125, 6595, 819.125
209, 3403, 2674.0625, 6859, 1181.53125
210, 3726, 2853.4375, 6873, 889.578125
211, 3724, 2876.5, 6764, 670.640625
212, 3790, 3006.8125, 6642, 792.5
213, 3616, 2534.125, 6889, 1407.015625
214, 3742, 3084.875, 6714, 529.359375
215, 3758, 2976.5625, 6756, 899.21875
216, 3845, 2646.1875, 6628, 1149.78125
217, 3768, 2945.25, 5773, 778.015625
218, 3638, 2879.1875, 6829, 756.375
219, 3814, 2880.0, 6753, 898.40625
220, 3675, 2624.0625, 6734, 903.203125
221, 3717, 2659.1875, 6700, 1224.234375
222, 3694, 2747.4375, 6746, 1119.015625
223, 3719, 2775.25, 6710, 1177.078125
224, 3849, 2835.25, 6793, 916.53125
225, 3681, 2846.8125, 6722, 1006.078125
