best seeker, average seeker, best avoider, average avoider
3639, 2765.25, 1999, 480.40625
3779, 2898.0625, 1999, 415.984375
3684, 2569.875, 1999, 576.0625
3732, 2732.3125, 1999, 472.96875
3413, 2627.4375, 1999, 530.46875
3688, 2917.9375, 1999, 457.875
3165, 2483.75, 1999, 539.625
3643, 2757.9375, 1999, 451.015625
3680, 2871.8125, 1999, 516.25
3599, 2756.25, 1999, 513.875
3466, 2680.375, 1999, 501.625
3755, 2904.5, 1999, 476.84375
3578, 2528.3125, 1999, 648.90625
3814, 2757.625, 1999, 513.515625
3584, 2941.3125, 1999, 421.75
3684, 2868.0625, 1999, 376.65625
3561, 2690.375, 1999, 593.34375
3601, 2726.6875, 1999, 536.890625
3548, 2636.5, 1999, 543.828125
3796, 3073.5625, 1999, 372.15625
3544, 2782.1875, 1999, 491.765625
3450, 2764.75, 1999, 496.15625
3665, 2826.875, 1999, 480.609375
3843, 3072.5625, 1999, 372.390625
3784, 2898.6875, 1999, 462.703125
3793, 2819.625, 1999, 469.34375
3516, 2545.0, 1999, 582.265625
3730, 2891.375, 1999, 417.625
3820, 2669.0625, 1999, 504.40625
3667, 2828.0, 1999, 527.203125
3761, 2706.1875, 1999, 557.625
3552, 2685.625, 1999, 531.5625
3467, 2822.0625, 1999, 481.84375
3472, 2787.4375, 1999, 506.09375
3750, 2866.75, 1999, 455.3125
3436, 2499.625, 1999, 503.828125
3653, 2781.5, 1999, 429.46875
3549, 2899.1875, 1999, 462.578125
3688, 2859.9375, 1999, 503.609375
3200, 2737.8125, 1999, 549.71875
3662, 2763.5625, 1999, 481.375
3695, 2811.4375, 1999, 484.5
3532, 2819.0, 1999, 420.125
3596, 2848.1875, 1999, 490.890625
3525, 2375.4375, 1999, 640.25
3621, 2910.5, 1999, 444.09375
3896, 2867.6875, 1999, 517.3125
3648, 2881.3125, 1999, 513.90625
3514, 2671.9375, 1999, 505.25
3307, 2638.5, 1999, 574.546875
2917, 2310.1875, 1999, 703.421875
3714, 2770.875, 1999, 494.609375
3564, 2847.6875, 1999, 398.671875
3660, 2611.6875, 1999, 550.0
3584, 2814.6875, 1999, 474.953125
3657, 2540.3125, 1999, 599.046875
3658, 2631.0, 1999, 560.8125
3737, 3156.1875, 1999, 367.109375
3741, 2511.6875, 1999, 653.09375
3731, 2801.625, 1999, 487.625
3663, 2872.875, 1999, 469.140625
3439, 2885.0, 1999, 434.859375
3416, 2738.0, 1999, 502.84375
3601, 2425.25, 1999, 627.828125
3671, 2838.3125, 1999, 463.234375
3544, 2828.3125, 1999, 464.640625
3733, 2833.25, 1999, 465.09375
3477, 2862.25, 1999, 487.40625
3318, 2691.1875, 1999, 436.4375
3601, 2718.5, 1999, 492.078125
3789, 2817.25, 1999, 483.015625
3488, 2729.375, 1999, 520.609375
3674, 2670.8125, 1999, 472.78125
3385, 2629.6875, 1999, 546.765625
3529, 2788.6875, 1999, 505.796875
