generation, best seeker, average seeker, best avoider, average avoider
0, 3640, 2636.75, 6844, 1068.0625
1, 3606, 2763.875, 6641, 1172.203125
2, 2995, 2574.6875, 6795, 1378.40625
3, 3739, 2774.375, 6782, 1217.921875
4, 3658, 2663.1875, 6843, 1327.671875
5, 3732, 3059.125, 6451, 696.234375
6, 3743, 2987.8125, 6371, 618.84375
7, 3542, 2874.5625, 6695, 929.71875
8, 3741, 2916.3125, 6778, 991.265625
9, 3616, 2652.25, 6689, 1056.84375
10, 3732, 2785.625, 6853, 761.03125
11, 3641, 2829.9375, 6716, 1086.390625
12, 3255, 2642.375, 6797, 1274.453125
13, 3774, 3069.125, 6694, 629.421875
14, 3746, 2925.0625, 6764, 774.84375
15, 3665, 2897.5, 6799, 896.71875
16, 3581, 2805.9375, 6780, 1064.6875
17, 3714, 2743.625, 6630, 1092.78125
18, 3764, 2722.25, 6724, 1109.0
19, 3675, 3100.875, 6591, 640.34375
20, 3693, 2748.375, 6757, 864.5625
21, 3747, 2983.375, 6704, 766.421875
22, 3746, 2964.625, 6924, 871.90625
23, 3753, 2646.0, 6816, 1016.171875
24, 3566, 2513.625, 6714, 1225.703125
25, 3885, 2969.625, 6731, 836.6875
26, 3629, 2870.25, 6846, 966.65625
27, 3585, 2656.3125, 6647, 1254.0625
28, 3670, 2984.0, 6817, 913.25
29, 3595, 2700.6875, 6704, 1312.609375
30, 3749, 2749.625, 6791, 1037.40625
31, 3747, 2847.3125, 6656, 1028.625
32, 3724, 2810.25, 6854, 1176.625
33, 3675, 3013.3125, 6443, 728.25
34, 3775, 3018.375, 6585, 814.25
35, 3443, 2692.0625, 6834, 818.953125
36, 3677, 2971.5625, 6854, 584.59375
37, 3828, 2769.4375, 6639, 1056.28125
38, 3760, 3147.375, 6366, 514.96875
39, 3796, 2725.125, 6632, 1212.234375
40, 3523, 2497.3125, 6837, 1166.609375
41, 3763, 2883.6875, 6765, 1116.171875
42, 3843, 3087.5625, 6829, 703.171875
43, 3496, 2659.0625, 6663, 1194.65625
44, 3769, 2997.5, 6726, 685.53125
45, 3777, 3183.0, 6807, 583.046875
46, 3672, 2709.0625, 6874, 1059.875
47, 3847, 2998.1875, 6765, 619.109375
48, 3607, 2929.0, 6505, 833.09375
49, 3765, 2743.0, 6789, 899.1875
50, 3748, 2830.5625, 6861, 997.109375
51, 3757, 2617.125, 6774, 1446.109375
52, 3828, 2983.75, 6879, 996.984375
53, 3617, 2517.0625, 6893, 1218.640625
54, 3596, 2715.1875, 6819, 990.234375
55, 3722, 2897.1875, 6808, 970.578125
56, 3416, 2639.1875, 6697, 1217.546875
57, 3656, 2751.5625, 6715, 1163.828125
58, 3667, 2929.8125, 6814, 847.109375
59, 3682, 2683.875, 6205, 953.953125
60, 3742, 2859.25, 6819, 846.71875
61, 3689, 2967.0625, 6476, 647.203125
62, 3801, 2988.125, 6661, 515.234375
63, 3851, 3050.0, 6727, 786.5625
64, 3790, 2839.0625, 6847, 954.546875
65, 3746, 2913.0625, 6869, 873.125
66, 3803, 2996.625, 6842, 694.5
67, 3612, 2720.375, 6748, 1110.25
68, 3679, 3059.6875, 6189, 705.15625
69, 3743, 2999.375, 6495, 797.09375
70, 3776, 3037.125, 6283, 425.5
71, 3812, 2844.9375, 6469, 994.515625
72, 3717, 2964.25, 6919, 813.171875
73, 3520, 2690.6875, 6784, 1195.203125
74, 3731, 2943.25, 6759, 769.140625
75, 3804, 2719.0625, 6748, 1254.328125
76, 3498, 2779.1875, 6819, 1116.09375
77, 3700, 2829.6875, 6542, 740.0625
