generation, best seeker, average seeker, best avoider, average avoider
0, 3864, 2887.125, 6743, 1029.4375
1, 3799, 3117.25, 6919, 708.234375
2, 3854, 2750.3125, 6504, 958.140625
3, 3721, 2857.375, 6845, 927.171875
4, 3757, 3042.5625, 6870, 850.859375
5, 3788, 3320.0625, 6670, 427.53125
6, 3731, 2957.125, 6706, 1009.328125
7, 3853, 2873.0625, 6793, 976.171875
8, 3740, 3129.0625, 6156, 409.828125
9, 3393, 2636.5625, 6720, 1050.9375
10, 3694, 2723.0625, 6814, 1221.359375
11, 3806, 3001.625, 6504, 704.125
12, 3660, 2900.1875, 6885, 955.421875
13, 3617, 2925.3125, 6830, 734.84375
14, 3863, 2976.0, 6512, 916.84375
15, 3818, 2892.3125, 6358, 814.21875
16, 3866, 2987.1875, 6839, 809.0625
17, 3742, 3035.875, 6432, 689.734375
18, 3719, 2743.1875, 6885, 1319.421875
19, 3767, 2820.25, 6869, 1126.625
20, 3724, 2824.875, 6846, 1097.140625
21, 3770, 2935.5, 6742, 1024.390625
22, 3801, 2680.9375, 6660, 1161.703125
23, 3679, 2807.5625, 6821, 1018.421875
24, 3568, 2942.8125, 6876, 722.984375
25, 3682, 2627.25, 6895, 1177.84375
26, 3792, 2820.8125, 6369, 803.390625
27, 3771, 2783.5625, 6433, 858.328125
28, 3797, 2794.25, 6841, 802.375
29, 3782, 2682.4375, 6829, 995.28125
30, 3811, 3013.125, 6441, 798.265625
31, 3628, 2901.375, 6795, 1054.125
32, 3666, 3015.8125, 6763, 599.203125
33, 3821, 2810.625, 6805, 942.5625
34, 3796, 2898.125, 6779, 912.859375
35, 3715, 2766.5, 6710, 1025.890625
36, 3811, 2993.625, 6855, 815.21875
37, 3786, 2851.0, 6601, 610.625
38, 3737, 3038.875, 6665, 676.03125
39, 3830, 3097.1875, 6771, 682.203125
40, 3780, 2970.5, 6801, 1023.421875
41, 3647, 2926.6875, 6798, 822.90625
42, 3772, 2726.0, 6885, 1115.140625
43, 3675, 2953.375, 6753, 853.4375
44, 3845, 3089.8125, 6929, 954.890625
45, 3622, 2791.1875, 6866, 1020.765625
46, 3677, 2884.6875, 6736, 1039.625
47, 3837, 2838.9375, 6646, 1032.03125
48, 3880, 2765.4375, 6809, 1168.296875
49, 3815, 2949.375, 6776, 924.875
50, 3732, 2942.75, 6360, 721.59375
51, 3738, 2656.0625, 6486, 1030.96875
52, 3887, 3103.25, 6411, 495.453125
53, 3795, 3016.3125, 5939, 638.59375
54, 3748, 2763.3125, 6864, 1050.171875
55, 3612, 2742.25, 6755, 940.0
56, 3698, 2678.1875, 6781, 1135.3125
57, 3790, 3036.75, 6545, 834.125
58, 3736, 2918.0625, 6611, 989.875
59, 3746, 3036.1875, 6322, 630.4375
60, 3819, 2940.4375, 6860, 871.484375
61, 3679, 2813.875, 6656, 1102.90625
62, 3827, 2753.1875, 6894, 1105.546875
63, 3753, 2934.4375, 6729, 1062.96875
64, 3646, 3032.375, 6839, 717.203125
65, 3779, 2822.8125, 6667, 1147.765625
66, 3730, 2649.5625, 6250, 877.421875
67, 3818, 2776.8125, 6671, 831.359375
68, 3731, 2990.0, 6668, 649.15625
69, 3728, 3025.3125, 6827, 855.796875
70, 3672, 2889.5625, 6759, 883.875
71, 3792, 2945.5, 6834, 705.515625
72, 3619, 2888.1875, 6803, 1281.34375
73, 3836, 3134.5, 6799, 689.0625
74, 3766, 2827.75, 6704, 875.671875
75, 3738, 2784.25, 6573, 825.546875
76, 3849, 2848.4375, 6598, 1032.421875
77, 3635, 2835.3125, 6910, 808.703125
78, 3624, 2610.6875, 6780, 1218.078125
79, 3809, 2808.4375, 6716, 1203.890625
80, 3594, 2523.125, 6791, 1615.71875
81, 3726, 3013.1875, 6718, 718.828125
82, 3807, 2849.4375, 6905, 1033.875
83, 3877, 2860.625, 6019, 819.78125
84, 3691, 2502.5625, 6779, 1582.5625
85, 3816, 2865.5, 6800, 831.328125
86, 3888, 2924.125, 6859, 799.328125
87, 3825, 3042.125, 6609, 731.796875
88, 3668, 3046.0625, 6626, 648.15625
89, 3678, 2660.125, 6729, 1234.765625
90, 3645, 2660.1875, 6839, 1205.265625
91, 3724, 3037.1875, 6658, 748.125
92, 3726, 2766.375, 6767, 1164.34375
93, 3777, 2928.8125, 6861, 820.84375
94, 3762, 2769.75, 6697, 910.765625
95, 3818, 2884.625, 6760, 976.578125
96, 3667, 3151.0, 6617, 637.828125
97, 3735, 2919.5625, 6738, 1171.484375
98, 3736, 2799.3125, 6507, 936.9375
99, 3588, 2830.4375, 6787, 1202.1875
100, 3478, 2659.875, 6904, 1105.890625
101, 3597, 2709.0, 6823, 1138.390625
102, 3778, 2985.875, 6934, 831.421875
103, 3838, 2745.1875, 6929, 1200.765625
104, 3581, 2680.0, 6741, 1244.34375
105, 3620, 2823.875, 6853, 865.546875
106, 3781, 2843.375, 6601, 1102.421875
107, 3729, 2836.125, 6615, 831.15625
108, 3748, 3058.25, 6343, 691.984375
109, 3816, 3164.5, 6903, 526.984375
110, 3735, 2956.5625, 6598, 824.5
111, 3829, 3033.9375, 6769, 937.59375
112, 3740, 2955.5, 6880, 1089.875
113, 3630, 2963.6875, 6722, 715.0
114, 3800, 2942.0, 6870, 914.78125
115, 3871, 2957.625, 6455, 791.875
116, 3828, 3044.0625, 6649, 857.1875
117, 3671, 2748.25, 6803, 1151.28125
118, 3576, 2894.0, 6556, 919.34375
119, 3682, 2831.625, 6655, 758.984375
120, 3904, 2624.5, 6789, 1219.15625
121, 3770, 2866.9375, 6826, 1048.890625
122, 3716, 2762.375, 6806, 1435.765625
123, 3695, 2673.75, 6809, 1201.8125
124, 3649, 2654.25, 6859, 1416.796875
125, 3755, 2906.375, 6926, 933.171875
126, 3744, 2798.9375, 6725, 1165.28125
127, 3845, 2889.0, 6789, 985.453125
128, 3801, 2857.5, 6825, 1085.703125
129, 3845, 2720.0, 6731, 1340.75
130, 3737, 2827.6875, 6872, 1255.390625
131, 3718, 2754.4375, 6803, 948.578125
132, 3746, 2840.6875, 6838, 979.34375
133, 3669, 2884.6875, 6794, 1076.828125
134, 3769, 2854.625, 6877, 905.515625
135, 3727, 2835.875, 6770, 1077.5
136, 3784, 3101.1875, 6744, 501.0
137, 3714, 2853.0625, 6584, 957.5
138, 3906, 3156.0625, 6891, 758.53125
139, 3613, 3063.875, 6810, 732.359375
140, 3631, 2773.625, 6745, 1145.5625
141, 3836, 2854.1875, 6567, 886.421875
142, 3788, 2951.5625, 6819, 873.421875
143, 3371, 2716.625, 6914, 1273.671875
144, 3795, 2909.125, 6881, 1024.953125
145, 3828, 2837.9375, 6793, 970.03125
146, 3843, 3037.625, 6358, 766.0
147, 3760, 2836.8125, 6755, 781.375
148, 3881, 2891.75, 6519, 679.6875
149, 3697, 2930.0625, 6802, 1008.921875
150, 3931, 2899.3125, 6474, 801.90625
151, 3755, 2833.8125, 6698, 802.8125
152, 3659, 2905.5, 6828, 947.078125
153, 3783, 2820.0625, 6920, 1110.8125
154, 3843, 2863.25, 6662, 943.875
155, 3555, 2674.375, 6828, 1123.359375
156, 3805, 2901.6875, 6529, 762.640625
157, 3730, 2720.875, 6727, 935.546875
158, 3689, 2863.0, 6820, 860.359375
159, 3640, 2818.1875, 6684, 1201.6875
160, 3639, 2765.125, 6847, 1059.34375
161, 3849, 2895.8125, 6584, 770.140625
162, 3690, 2725.0, 6724, 1276.0625
163, 3816, 2721.1875, 6746, 884.9375
164, 3850, 2944.0625, 6721, 1048.625
165, 3703, 2868.0625, 6552, 707.109375
166, 3578, 2781.1875, 6787, 978.0625
167, 3760, 3016.375, 6869, 923.203125
168, 3783, 2839.0, 6839, 831.71875
169, 3792, 3015.9375, 6734, 839.484375
170, 3658, 2909.0, 6921, 906.1875
171, 3753, 2909.375, 6856, 835.203125
172, 3890, 2885.3125, 6781, 971.46875
173, 3596, 2832.875, 6646, 917.765625
174, 3782, 2783.75, 6622, 864.421875
175, 3779, 3130.0, 6797, 703.25
176, 3823, 3026.1875, 6826, 908.890625
177, 3885, 2965.625, 6808, 789.515625
178, 3662, 2946.75, 6689, 885.84375
179, 3812, 2906.8125, 6812, 924.828125
180, 3789, 3042.9375, 6617, 732.71875
181, 3728, 2913.0625, 6696, 829.546875
182, 3683, 2936.5625, 6759, 806.234375
183, 3712, 3155.9375, 6271, 533.953125
184, 3639, 2897.5, 6767, 790.6875
185, 3795, 3083.0, 6668, 467.625
186, 3696, 3007.625, 6033, 515.75
187, 3823, 2942.4375, 6440, 858.8125
188, 3801, 2787.1875, 6806, 1136.6875
189, 3796, 2912.25, 6651, 821.9375
190, 3722, 2930.0625, 6780, 913.859375
191, 3712, 2788.25, 6941, 1183.734375
192, 3803, 3103.4375, 6274, 526.53125
193, 3835, 3162.375, 6851, 690.265625
194, 3781, 2745.3125, 6759, 1452.046875
195, 3742, 2861.625, 6773, 1011.53125
196, 3802, 2721.5625, 6716, 1129.421875
197, 3774, 3140.625, 6904, 684.0625
198, 3842, 3074.375, 6877, 614.0625
199, 3728, 2836.1875, 6812, 938.21875
200, 3770, 2751.25, 6103, 984.09375
201, 3691, 2901.9375, 6824, 724.765625
202, 3781, 3012.6875, 6860, 954.65625
203, 3829, 3068.0, 6269, 795.515625
204, 3866, 2799.75, 6804, 1286.75
205, 3697, 2823.4375, 6854, 909.125
206, 3641, 2633.8125, 6905, 1047.828125
207, 3739, 3126.3125, 6894, 577.90625
208, 3753, 3041.75, 6720, 647.859375
209, 3658, 2916.375, 6546, 834.125
210, 3781, 2863.8125, 6889, 957.375
211, 3668, 2844.375, 6814, 1180.484375
212, 3701, 2869.4375, 6820, 961.4375
213, 3810, 2906.0, 6882, 1059.28125
214, 3769, 2749.1875, 6910, 1396.15625
215, 3693, 2892.75, 6796, 848.15625
216, 3698, 2875.4375, 6795, 1036.859375
217, 3781, 3006.125, 6648, 775.078125
218, 3546, 2917.3125, 6581, 1047.0625
219, 3707, 2999.125, 6685, 707.8125
220, 3850, 3021.625, 6600, 660.890625
221, 3773, 2858.8125, 6480, 887.359375
222, 3691, 3031.5, 6905, 709.953125
223, 3657, 2909.5625, 6648, 882.53125
224, 3745, 2601.9375, 6779, 1382.140625
225, 3722, 3092.75, 6751, 714.953125
226, 3827, 3084.125, 6861, 616.75
227, 3729, 3017.5625, 6381, 736.734375
228, 3820, 2949.5, 6652, 937.046875
229, 3876, 3149.0, 6712, 637.71875
230, 3747, 2712.625, 6852, 1046.96875
231, 3791, 3004.1875, 6810, 873.671875
232, 3892, 3095.125, 6839, 785.34375
233, 3871, 3110.1875, 6525, 715.375
234, 3760, 2951.5625, 6765, 730.875
235, 3591, 2959.5, 6552, 865.171875
236, 3844, 2805.5625, 6760, 1218.6875
237, 3784, 2963.125, 6769, 885.078125
238, 3893, 2998.8125, 6729, 823.828125
239, 3832, 3129.75, 6916, 751.453125
240, 3819, 3000.8125, 6765, 850.234375
241, 3869, 3014.125, 6718, 884.53125
242, 3853, 3028.4375, 6606, 796.3125
243, 3761, 3142.25, 6713, 539.46875
244, 3846, 2845.0, 6546, 687.046875
245, 3736, 3038.5, 6344, 609.515625
246, 3624, 2746.4375, 6820, 1182.703125
247, 3854, 3022.1875, 6799, 851.59375
248, 3719, 3052.25, 6599, 665.4375
