generation, best seeker, average seeker, best avoider, average avoider
0, 2816, 2480.9375, 4147.935738283372, 838.6464241394714
1, 3753, 2873.875, 4455.262756516127, 727.6034654353431
2, 3765, 3025.5625, 4107.991585626793, 516.2602005281949
3, 3489, 2643.0625, 4400.816812282793, 764.8548742428529
4, 3538, 2804.375, 4228.327545235352, 716.8012231102349
5, 3287, 2521.0625, 4409.356751721991, 941.3993130186577
6, 3781, 2783.4375, 3718.0001049904436, 571.3491640598913
7, 3678, 2780.125, 4528.157558141604, 587.1191946413468
8, 3799, 3032.3125, 3990.9364130233485, 563.679807895061
9, 3641, 2703.1875, 4209.713392941403, 623.6825931809205
10, 3652, 2865.6875, 4608.734094559864, 613.0397186149272
11, 3117, 2341.625, 3935.564186959971, 914.3941492796582
12, 3530, 2893.0, 4400.304107224379, 708.581287360748
13, 3676, 2976.5625, 4047.4182765623054, 568.8318286662877
14, 3822, 2937.8125, 4745.871412375471, 742.1645445607928
15, 3742, 2606.625, 4655.644765543244, 865.7400069535373
16, 3376, 2680.5, 5258.423179948458, 781.1895655025294
17, 3800, 2865.125, 4213.483334576583, 737.0297295242669
18, 3674, 2743.0625, 4712.115950861766, 768.1792979926931
19, 3650, 2638.375, 4123.184343833573, 755.3691392281701
20, 3630, 2441.8125, 4448.000501540095, 968.0347143927804
21, 3776, 2893.125, 4429.347125563469, 635.3465755916604
22, 3569, 2768.0625, 4424.075918226768, 756.7783498894108
23, 3448, 2586.375, 4810.821953310473, 868.3939747736969
24, 3583, 2916.0625, 4406.707538796407, 625.9255245857382
25, 3616, 2745.3125, 4051.1068305631247, 739.4066455290578
26, 3646, 2722.625, 4697.7716429510765, 733.397344429252
27, 3817, 2835.0, 4323.280592442207, 534.0648780845713
28, 3676, 2558.3125, 4670.3451840914695, 879.9559034609158
29, 3664, 2812.1875, 4529.163180224259, 614.13101439844
30, 3591, 2776.375, 4845.3571464995075, 698.1768204794415
31, 3683, 2853.0, 4650.070091015008, 522.6650228541198
32, 3728, 2831.3125, 4286.442658333084, 619.2663229994058
33, 3730, 2626.375, 4753.184197176706, 967.8451338389062
34, 3044, 2515.125, 4116.67507208081, 787.1255063657281
35, 3527, 3000.5625, 4816.062177798105, 504.3430334241264
36, 3712, 2936.6875, 5185.823756648184, 616.77535184191
37, 3535, 2619.75, 4479.083800376224, 795.8625525855489
38, 3694, 2698.9375, 4419.015612531987, 777.1116153440267
39, 3553, 2806.9375, 4256.719115800488, 612.6449191863904
40, 3844, 2859.375, 4321.388663738671, 615.8187836522126
41, 3858, 2679.1875, 4022.4136452818943, 587.8500152475078
42, 3877, 2741.25, 4336.35665692575, 839.4459677360668
43, 3803, 2683.125, 4388.305249062885, 844.6097201541511
44, 3598, 2912.75, 5224.524240906593, 622.5080226794986
